,408_p14
341,2.447354493398206
342,2.4510173791735457
343,2.4544258342265386
344,2.4575278179804267
345,2.4602712898584502
346,2.462604209283842
347,2.464474535679853
348,2.4658302284697196
349,2.4666192470766766
350,2.4667895509239677
351,2.4662890994348365
352,2.465065852032516
353,2.463068828786287
354,2.460276487603324
355,2.45669983251084
356,2.4523515518026646
357,2.4472443337726326
358,2.441390866714579
359,2.4348038389223343
360,2.4274959386897303
361,2.419479854310602
362,2.4107682740787832
363,2.401373886288105
364,2.3913093792324003
365,2.380587441205502
366,2.369220760501246
367,2.3572220254134613
368,2.344603924235982
369,2.3313791452626424
370,2.3175603767872746
371,2.303160307103712
372,2.288191624505786
373,2.272667017287331
374,2.2565991737421793
375,2.2400007821641648
376,2.2228845308471192
377,2.205263108084876
378,2.187149202171269
379,2.1685555014001294
380,2.1494950623838145
381,2.1300353437447095
382,2.110355213637775
383,2.0906471816447576
384,2.071103757347406
385,2.0519174503274673
386,2.03328077016669
387,2.015386226446821
388,1.9984263287496091
389,1.9825935866568012
390,1.9680805097501453
391,1.955079607611389
392,1.9437833898222805
393,1.9343843659645668
394,1.9270750456199965
395,1.9220479383703166
396,1.9194955537972755
397,1.9196104014826207
398,1.9225849910080999
399,1.9286118319554606
400,1.937883433906451
401,1.9505923064428186
402,1.9669309591463113
403,1.9870919015986768
404,2.0112676433816628
405,2.039650694077017
406,2.072433563266487
407,2.109808760531821
