,408_p16
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.08865368780702898
55,0.2774360618391487
56,0.45497669150866393
57,0.6215879510256566
58,0.7775822145972529
59,0.9232718564330793
60,1.058969250741854
61,1.1849867717316118
62,1.3016367936103888
63,1.4092316905894027
64,1.5080838368753255
65,1.5985056066764198
66,1.6808093742027672
67,1.755307513662403
68,1.8223123992638177
69,1.8821364052159562
70,1.9350919057279905
71,1.9814912750077287
72,2.021646887264116
73,2.055871116706324
74,2.0844763375423887
75,2.1077749239814825
76,2.1260792502320953
77,2.1397006148711935
78,2.1489085013009426
79,2.153918073530198
80,2.154940865313014
81,2.152188410402763
82,2.145872242552363
83,2.1362038955151856
84,2.123394903045286
85,2.107656798895354
86,2.0892011168185345
87,2.0682393905684275
88,2.0449831538984053
89,2.0196439405618403
90,1.9924332843118773
91,1.9635627189023435
92,1.9332437780861564
93,1.9016879956166886
94,1.8691069052468574
95,1.8357120407309448
96,1.801714935821641
97,1.767327124272546
98,1.7327601398370316
99,1.6982255162680158
100,1.6639347873190982
101,1.630080661788801
102,1.5967167202921555
103,1.5638341857811238
104,1.5314239870673045
105,1.499477052962865
106,1.467984312279972
107,1.436936693830111
108,1.406325126425335
109,1.3761405388776975
110,1.346373859998911
111,1.3170160186009152
112,1.288057943495991
113,1.2594905634955094
114,1.2313048074114104
115,1.2034916040560883
116,1.176041882241142
117,1.1489465707785111
118,1.122196598479908
119,1.0957828941574999
120,1.0696963866231126
121,1.0439280046890271
122,1.01846867716616
123,0.9933093328678151
124,0.9684409487644725
125,0.9438647116818029
126,0.9196045879778776
127,0.8956876262304458
128,0.8721408750171431
129,0.8489913829161733
130,0.8262661985046034
131,0.8039923703609784
132,0.7821969470627064
133,0.7609069771874228
134,0.7401495093139001
135,0.7199515920189778
136,0.7003402738806326
137,0.6813426034769545
138,0.6629856293854655
139,0.6452964001842556
140,0.6283019644509604
141,0.6120293707636701
142,0.5965056676997929
143,0.5817579038368503
144,0.5678131277538423
145,0.5546983880272673
146,0.5424407332361252
147,0.5310672119573692
148,0.5206031652988568
149,0.5110483855592829
150,0.5023829975120488
151,0.49458662001412357
152,0.4876388719223623
153,0.4815193720935067
154,0.4762077393841846
155,0.471683592651706
156,0.4679265507521304
157,0.4649162325427678
158,0.4626322568804735
159,0.46105424262187533
160,0.4601618086237149
161,0.45993457374313174
162,0.46035215683646946
163,0.4613941767609244
164,0.4630402523730677
165,0.4652700025297545
166,0.46806304608801064
167,0.4713990019042935
168,0.4752574888355152
169,0.47961812573881524
170,0.48446053147053725
171,0.48976432488770705
172,0.495502330048188
173,0.501620191813819
174,0.5080567602477881
175,0.5147508854128855
176,0.5216414173719581
177,0.5286672061884214
178,0.5357671019249519
179,0.5428799546447944
180,0.5499446144106255
181,0.5568999312856899
182,0.5636847553328348
183,0.5702379366149071
184,0.5764983251952085
185,0.5824047711366429
186,0.5878961245019436
187,0.5929112353545829
188,0.5973889537570098
189,0.6012681297726399
190,0.6044876134642632
191,0.6069862548948404
192,0.6087029041274459
193,0.6095764112250404
194,0.6095456262505845
195,0.608551059768919
196,0.6065977743539204
197,0.6037746879225008
198,0.6001763225851189
199,0.5958972004522618
200,0.5910318436345587
201,0.5856747742425537
202,0.5799205143867052
203,0.5738635861776142
204,0.5675985117257678
205,0.5612198131417667
206,0.5548220125361265
207,0.5484996320193627
208,0.5423471937020761
209,0.5364592196946685
210,0.5309302321078828
211,0.5258547530520925
212,0.5213273046378699
213,0.5174424089757874
214,0.5142945881763321
215,0.5119783643501616
216,0.5105882596076494
217,0.5102187960594815
218,0.5109644958161166
219,0.5129064738578304
220,0.5160267580926554
221,0.5202629653096462
222,0.5255525028114985
223,0.5318327779007372
224,0.5390411978800014
225,0.5471151700519012
226,0.5559921017191041
227,0.5656094001841065
228,0.5759044727496185
229,0.586814726718293
230,0.5982775693926694
231,0.6102304080754006
232,0.6226106500690829
233,0.6353557026763692
234,0.6484029731998415
235,0.6616898689421529
236,0.675153797205871
237,0.6887321652937057
238,0.7023623805081538
239,0.7159818501519251
240,0.7295279815275872
241,0.742938181937765
242,0.7561500324501846
243,0.7691379523320645
244,0.7819585517391996
245,0.7946795617932647
246,0.8073687136159489
247,0.8200937383289411
248,0.8329223670539303
249,0.8459223309125914
250,0.8591613610265991
251,0.8727071885176567
252,0.8866275445074319
253,0.9009901601176207
254,0.9158627664698908
255,0.9313130946859243
256,0.9474088758874242
257,0.9642178411960582
258,0.9818077217335226
259,1.000246248621485
260,1.0196011529816484
261,1.0399401659356737
262,1.061331018605257
263,1.08384144211208
264,1.1075391675778317
265,1.1324919261242012
266,1.1587619499743393
267,1.186329191536613
268,1.215110264054962
269,1.2450201514701167
270,1.2759738377227894
271,1.3078863067536748
272,1.3406725425034889
273,1.3742475289129263
274,1.4085262499227138
275,1.4434236894735424
276,1.478854831506128
277,1.5147346599611726
278,1.5509781587793778
279,1.5875003119014668
280,1.6242161032681306
281,1.6610405168200923
282,1.6978885364980396
283,1.7346751462427044
284,1.7713153299947688
285,1.8077240716949543
286,1.8438163552839644
287,1.8795071647025043
288,1.914711483891283
289,1.9493442967910148
290,1.983325861365529
291,2.0165975316711986
292,2.04910593578753
293,2.0807977017940242
294,2.1116194577701757
295,2.1415178317954995
296,2.170439451949494
297,2.198330946311664
298,2.2251389429615047
299,2.250810069978524
300,2.2752909554422294
301,2.298528227432117
302,2.3204685140276933
303,2.341058443308456
304,2.3602446433539113
305,2.3779737422435643
306,2.394192368056916
307,2.4088471488734644
308,2.4218847127727186
309,2.4332516878341792
310,2.4428947021373486
311,2.450760383761732
312,2.4567953607868276
313,2.4609484789852347
314,2.4632547969486014
315,2.4638613667698515
316,2.462922725256093
317,2.460593409214447
318,2.457027955452026
319,2.4523809007759434
320,2.4468067819933204
321,2.440460135911265
322,2.4334954993368947
323,2.426067409077326
324,2.418330401939672
325,2.4104390147310486
326,2.4025477842585707
327,2.3948112473293532
328,2.3873839407505137
329,2.380420401329163
330,2.3740751658724193
331,2.3685027711873956
332,2.3638577540812076
333,2.36029465136097
334,2.3579679998337997
335,2.35703233630681
336,2.3576421975871162
337,2.3599238950067654
338,2.363795135996125
339,2.3690801310994
340,2.3756026498377443
