,422_p14
342,2.3885051822405385
343,2.3943671359085448
344,2.400716046354753
345,2.4074337515677255
346,2.4144020895360265
347,2.4215028982482236
348,2.428618015692879
349,2.4356292798585555
350,2.4424185287338185
351,2.4488676003072305
352,2.4548583325673583
353,2.4602725635027634
354,2.4649921311020107
355,2.4688988733536643
356,2.4718746282462893
357,2.473801233768447
358,2.4745605279087037
359,2.474034348655624
360,2.4721045339977694
361,2.468652921923706
362,2.4635613504219984
363,2.4567116574812085
364,2.4479856810899006
365,2.4372759510680635
366,2.4246256225873584
367,2.4101891962201303
368,2.39412378284913
369,2.376586493357108
370,2.3577344386268173
371,2.3377247295410064
372,2.316714476982429
373,2.294860791833833
374,2.272320784977972
375,2.249251567297596
376,2.2258102496754564
377,2.2021539429943036
378,2.1784397581368893
379,2.154824805985964
380,2.1314661974242792
381,2.1085210433345853
382,2.0861464545996338
383,2.064499542102176
384,2.0437374167249622
385,2.024017189350744
386,2.0054959708622726
387,1.988330872142298
388,1.9726790040735724
389,1.958697477538846
390,1.9465434034208702
391,1.9363738926023957
392,1.9283460559661743
393,1.9226155869160961
394,1.9192350351208756
395,1.9180857010844448
396,1.919032739340595
397,1.9219413044231186
398,1.9266765508658072
399,1.933103633202452
400,1.9410877059668454
401,1.9504939236927785
402,1.9611874409140435
403,1.973033412164432
404,1.9858969919777354
405,1.9996433348877458
406,2.014137595428255
407,2.0292449281330542
408,2.0448304875359358
409,2.060759428170691
410,2.076896904571112
411,2.09310807127099
412,2.1092580828041165
413,2.125212093704284
414,2.1408352585052843
415,2.155992731740908
416,2.1705496679449485
417,2.184371221651196
418,2.197322547393443
419,2.2092687997054807
420,2.2200751331211013
421,2.229606702174096
